,A
393,MASH V
394,SWEET POTATO FRIES (VE)
395,£
396,1.49
397,GOLDEN RICE & BEANS (VE)
398,Chicken
399,BBQ CHICKEN STACK
400,"A chicken breast with Monterey Jack cheese, BBQ sauce, back bacon and three chicken breast goujons, with chips, slaw and buttered corn"
401,£
402,13.99
403,"BIRD, SURF & TURF"
404,"A Cajun chicken breast, 8oz* rump steak and crackerjack prawns, served with chips, slaw and buttered corn"
405,£
406,17.49
407,"CHICKEN, BACON & WAFFLE"
408,"Southern-fried chicken breast, Belgian waffle and back bacon with maple-flavour syrup, served with chips"
409,£
410,SIMPLY CHICKEN
411,"A chicken breast with a home-baked jacket potato, peas, green beans and our speciality chicken gravy."
412,£
413,GO LARGE CHIPS +99p SWAP TO DIRTY FRIES +99p
414,OR SWEET POTATO FRIES +1.49
415,On
416,The Side
417,UNLIMITED SALAD (V)
418,£
419,6.49
420,chips (VE)
421,£
422,2.99
423,SAGE AND ONION CHIPS (V)(VE)
424,£
425,2.99
426,GARLIC BREAD (V)
427,Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE)
428,£
429,4.99
430,Garlic Bread (VE)
431,Soft garlic bread
432,£
433,4.99
434,SWEET POTATO FRIES (VE)
435,£
436,3.99
437,ONION RINGS (V)
438,£
439,3.99
440,MAC ‘N’ CHEESE (V)
441,£
442,3.99
443,BBQ PIT BEANS (V)(VE)
444,£
445,2.99
446,GREEN BEANS & PEAS (V)
447,£
448,2.99
449,HOME-BAKED JACKET POTATO (V)(VE)
450,£
451,2.99
452,MASH (V)
453,£
454,2.99
455,GOLDEN RICE & BEANS (VE)
456,£
457,2.99
458,Dirty
459,Fries
460,DIRTY FRIES (V)
461,"Topped with cheese sauce, crispy onion and bacon flavour crunch"
462,£
463,3.49
464,BBQ PULLED PORK DIRTY FRIES
465,"BBQ Pulled Pork topped with crispy onions, chilli and spring onions"
466,£
467,3.49
468,TEX MEX DIRTY FRIES (V)
469,"Topped with salsa, guacamole, sour cream, cheese sauce and jalapeños"
470,£
471,3.49
472,PATATAS BRAVAS DIRTY FRIES (V)(VE)
473,"Topped with tomato & smoked paprika sauce, vegan mayo and Cajun seasoning"
474,£
475,3.49
