,NumberofOrders,YearlyIncome,SalesAmt,Age,NumberItems,city2,gender2,gender,city,Clusterlabel
69,2,10000.0,44.97,44,3,162,1,M,Milton Keynes,1
70,3,70000.0,6841.4296,44,7,171,1,M,Newcastle,0
71,1,100000.0,38.98,70,2,102,1,M,Essen,3
72,1,30000.0,607.96,49,4,27,1,M,Bracknell,1
73,1,20000.0,548.98,53,2,148,1,M,London,1
74,1,70000.0,7.28,51,2,138,1,M,Lavender Bay,0
75,2,30000.0,2732.6975,59,5,80,1,M,Colomiers,1
76,1,60000.0,27.77,55,3,156,1,M,Melbourne,0
77,2,90000.0,4399.0782,53,3,135,1,M,Lane Cove,3
78,2,60000.0,5958.18,53,5,83,1,M,Coronado,0
79,1,10000.0,2443.55,42,3,138,1,M,Lavender Bay,1
80,1,20000.0,45.22,37,4,165,1,M,Mühlheim,1
81,1,20000.0,38.98,45,2,63,1,M,Cheltenham,1
82,2,20000.0,4253.81,80,5,187,1,M,Paderborn,1
83,3,70000.0,138.54,48,6,156,1,M,Melbourne,0
84,3,90000.0,8128.51,46,7,231,1,M,South Melbourne,3
85,1,160000.0,39.98,74,2,148,1,M,London,2
86,2,10000.0,4203.32,49,4,23,1,M,Bottrop,1
87,1,90000.0,571.72,58,4,83,1,M,Coronado,3
88,3,20000.0,6658.58,47,6,39,1,M,Bury,1
89,1,40000.0,4.99,56,1,7,1,M,Bellflower,1
90,2,10000.0,3826.3996,39,3,263,1,M,Wollongong,1
91,1,20000.0,34.47,44,3,268,1,M,York,1
92,2,20000.0,2726.4175,50,3,190,1,M,Paris,1
93,1,40000.0,38.88,42,3,78,1,M,Colma,1
94,1,40000.0,100.46,64,4,263,1,M,Wollongong,1
95,3,60000.0,5177.3982,58,6,204,1,M,Rhodes,0
96,3,130000.0,6799.4496,59,6,148,1,M,London,2
97,1,70000.0,29.48,69,2,25,1,M,Boulogne-sur-Mer,0
98,1,40000.0,93.48,40,3,36,1,M,Burien,1
99,2,80000.0,4730.32,61,6,178,1,M,Oak Bay,3
100,1,60000.0,2049.0982,53,1,254,1,M,Walla Walla,0
101,1,30000.0,24.99,61,1,149,1,M,Long Beach,1
102,1,40000.0,14.98,39,2,226,1,M,Sedro Woolley,1
103,1,60000.0,600.46,68,4,35,1,M,Burbank,0
104,1,70000.0,574.98,49,2,35,1,M,Burbank,0
105,1,80000.0,49.48,46,2,139,1,M,Lebanon,3
106,2,90000.0,6029.57,48,3,157,1,M,Melton,3
107,1,110000.0,71.97,63,2,220,1,M,San Francisco,3
108,1,60000.0,2049.0982,47,1,219,1,M,San Diego,0
109,1,60000.0,85.48,51,2,133,1,M,Lakewood,0
110,1,10000.0,3399.99,65,1,230,1,M,Sooke,1
111,1,40000.0,1750.98,47,2,203,1,M,Renton,1
112,1,40000.0,68.97,47,3,210,1,M,Runcorn,1
113,1,60000.0,119.98,65,2,163,1,M,Milwaukie,0
114,2,70000.0,3170.2,39,6,259,1,M,West Covina,0
115,1,30000.0,119.98,38,2,244,1,M,Torrance,1
116,1,30000.0,119.98,41,2,178,1,M,Oak Bay,1
117,2,30000.0,4390.69,53,5,229,0,F,Solingen,1
118,1,20000.0,37.27,41,3,237,0,F,Stuttgart,1
119,1,20000.0,1293.33,48,3,118,0,F,Hannover,1
120,2,30000.0,3807.3996,71,3,234,0,F,Springwood,1
121,4,130000.0,7494.8796,60,13,102,0,F,Essen,2
122,1,60000.0,27.28,63,2,36,0,F,Burien,0
123,2,20000.0,2518.97,57,3,190,0,F,Paris,1
124,1,40000.0,2071.4196,48,1,203,0,F,Renton,1
125,1,50000.0,539.99,45,1,4,0,F,Beaverton,0
126,1,60000.0,3578.27,48,1,97,0,F,Edmonds,0
127,1,40000.0,2398.05,44,3,103,0,F,Everett,1
128,1,50000.0,3578.27,44,1,218,0,F,San Carlos,0
129,1,60000.0,1763.97,48,3,216,0,F,Salem,0
130,1,60000.0,128.97,48,3,115,0,F,Grossmont,0
131,1,60000.0,539.99,49,1,133,0,F,Lakewood,0
132,2,70000.0,137.96,48,5,232,0,F,Spokane,0
133,1,30000.0,2.29,63,1,232,0,F,Spokane,1
134,1,40000.0,71.58,40,3,197,0,F,Port Orchard,1
135,1,30000.0,539.99,37,1,107,0,F,Fremont,1
136,2,40000.0,113.96,47,5,251,0,F,Villeneuve-d'Ascq,1
137,1,40000.0,4.99,58,1,227,0,F,Shawnee,1
138,1,70000.0,539.99,40,1,14,0,F,Beverly Hills,0
139,1,90000.0,63.97,48,3,84,0,F,Corvallis,3
140,1,90000.0,69.99,55,1,151,0,F,Lynnwood,3
141,1,50000.0,76.97,48,2,110,1,M,Glendale,0
142,2,70000.0,4188.24,71,4,209,1,M,Royal Oak,0
143,1,110000.0,69.99,56,1,78,1,M,Colma,3
144,1,130000.0,30.97,75,2,82,1,M,Concord,2
145,2,20000.0,14.56,55,4,15,1,M,Billericay,1
146,1,60000.0,22.93,81,3,232,1,M,Spokane,0
147,1,70000.0,141.98,65,2,173,1,M,Newport Beach,0
148,1,130000.0,4.99,60,1,82,1,M,Concord,2
149,1,10000.0,69.99,52,1,159,1,M,Metz,1
150,1,10000.0,548.98,64,2,23,1,M,Bottrop,1
151,1,40000.0,4.99,43,1,250,1,M,Victoria,1
152,2,60000.0,1468.5882,39,2,142,1,M,Lemon Grove,0
153,2,60000.0,1538.5782,57,3,254,1,M,Walla Walla,0
154,1,120000.0,2371.96,50,3,110,1,M,Glendale,2
155,1,60000.0,2376.96,54,3,74,1,M,Cliffside,0
156,1,40000.0,28.99,44,1,142,1,M,Lemon Grove,1
157,1,60000.0,1810.46,41,4,177,1,M,Novato,0
158,2,60000.0,2881.7396,43,5,14,1,M,Beverly Hills,0
159,2,60000.0,87.28,48,3,4,1,M,Beaverton,0
160,1,60000.0,1155.48,50,2,7,1,M,Bellflower,0
161,2,170000.0,6047.32,52,4,222,1,M,Santa Cruz,2
162,1,40000.0,2309.97,38,3,97,1,M,Edmonds,1
163,1,40000.0,39.98,77,2,158,1,M,Metchosin,1
164,1,60000.0,54.98,52,2,137,1,M,Langley,0
165,1,40000.0,27.28,43,2,182,1,M,Oregon City,1
166,1,50000.0,39.98,44,2,265,1,M,Woodland Hills,0
167,2,80000.0,4456.1382,62,5,8,1,M,Bellingham,3
168,1,20000.0,71.58,62,3,254,1,M,Walla Walla,1
169,1,10000.0,36.96,57,3,60,0,F,Chatou,1
170,3,70000.0,8262.52,53,7,86,0,F,Cranbourne,0
171,2,90000.0,6021.62,40,2,263,0,F,Wollongong,3
172,2,40000.0,37.29,69,2,36,0,F,Burien,1
173,1,20000.0,600.46,66,4,147,0,F,Liverpool,1
174,1,30000.0,58.98,42,2,187,0,F,Paderborn,1
175,1,40000.0,71.97,53,2,66,0,F,Chula Vista,1
176,1,50000.0,1779.47,45,3,36,0,F,Burien,0
177,2,50000.0,1552.48,49,2,83,0,F,Coronado,0
178,1,70000.0,603.49,55,2,198,0,F,Portland,0
179,1,90000.0,39.98,84,2,264,0,F,Woodburn,3
180,3,60000.0,145.82,42,8,168,0,F,N. Vancouver,0
181,1,70000.0,588.96,46,4,179,0,F,Oakland,0
182,1,30000.0,49.97,56,3,259,0,F,West Covina,1
183,1,30000.0,1249.84,63,2,88,0,F,Daly City,1
184,1,60000.0,539.99,58,1,181,0,F,Olympia,0
185,2,70000.0,4509.4796,45,3,4,0,F,Beaverton,0
186,1,70000.0,2369.97,56,4,177,0,F,Novato,0
187,2,70000.0,3371.3975,66,4,182,0,F,Oregon City,0
188,1,70000.0,2391.96,67,3,244,0,F,Torrance,0
189,1,80000.0,2362.27,50,4,195,0,F,Port Hammond,3
190,1,80000.0,2354.98,54,2,179,0,F,Oakland,3
191,1,70000.0,32.28,61,2,0,0,F,Ballard,0
192,1,60000.0,556.26,48,4,264,1,M,Woodburn,0
193,1,60000.0,1760.47,54,3,103,1,M,Everett,0
194,2,70000.0,3936.5425,45,3,34,1,M,Brisbane,0
195,1,80000.0,13.98,47,2,182,1,M,Oregon City,3
196,3,50000.0,243.01,44,9,158,1,M,Metchosin,0
197,1,60000.0,27.28,47,2,232,1,M,Spokane,0
198,1,150000.0,38.98,61,2,108,1,M,Gateshead,2
199,1,40000.0,1759.97,66,3,149,1,M,Long Beach,1
200,1,50000.0,2443.35,45,1,250,1,M,Victoria,0
201,2,60000.0,108.96,41,5,264,1,M,Woodburn,0
202,1,80000.0,37.27,53,3,210,1,M,Runcorn,3
203,1,120000.0,597.26,56,4,99,1,M,El Cajon,2
204,2,60000.0,3282.83,39,3,219,1,M,San Diego,0
205,1,20000.0,4.99,62,1,158,1,M,Metchosin,1
206,2,60000.0,5333.25,50,3,76,0,F,Coffs Harbour,0
207,3,20000.0,6515.3,69,7,120,1,M,Hervey Bay,1
208,2,60000.0,72.21,45,5,265,1,M,Woodland Hills,0
209,2,130000.0,5937.73,48,5,142,1,M,Lemon Grove,2
210,2,30000.0,2764.4075,59,4,100,1,M,Erlangen,1
211,1,30000.0,71.58,63,3,10,1,M,Berkeley,1
212,1,40000.0,77.92,43,4,197,1,M,Port Orchard,1
213,1,60000.0,1155.48,66,2,225,1,M,Seattle,0
214,1,60000.0,39.47,42,3,115,1,M,Grossmont,0
215,1,70000.0,2385.94,41,5,179,1,M,Oakland,0
216,2,70000.0,83.97,45,4,201,1,M,Redmond,0
217,1,80000.0,36.59,63,2,229,1,M,Solingen,3
218,1,10000.0,28.99,57,1,116,0,F,Hamburg,1
219,2,40000.0,3262.83,51,3,11,0,F,Berks,1
220,2,30000.0,4726.04,65,4,135,0,F,Lane Cove,1
221,2,100000.0,161.94,47,6,135,0,F,Lane Cove,3
222,2,20000.0,4435.3796,42,5,13,0,F,Berlin,1
223,2,30000.0,4393.6996,56,3,13,0,F,Berlin,1
224,1,10000.0,99.96,47,4,190,0,F,Paris,1
225,1,20000.0,38.98,42,2,13,0,F,Berlin,1
226,1,60000.0,1750.98,51,2,33,0,F,Bremerton,0
227,2,80000.0,39.46,43,4,231,0,F,South Melbourne,3
228,3,40000.0,6999.0925,43,7,127,0,F,Kassel,1
229,2,10000.0,67.26,41,4,104,0,F,Findon,1
230,1,30000.0,4.99,39,1,118,0,F,Hannover,1
231,1,60000.0,29.99,70,1,201,1,M,Redmond,0
232,2,60000.0,77.27,53,3,76,0,F,Coffs Harbour,0
233,2,100000.0,1957.47,54,3,109,0,F,Geelong,3
234,2,110000.0,165.07,51,5,175,0,F,North Ryde,3
235,2,10000.0,4792.73,40,5,89,0,F,Darlinghurst,1
236,1,30000.0,31.27,49,3,148,0,F,London,1
237,1,40000.0,77.96,46,4,21,0,F,Bonn,1
238,2,80000.0,3946.5225,63,5,245,0,F,Townsville,3
239,1,40000.0,2443.35,45,1,166,1,M,München,1
240,2,40000.0,6056.61,77,3,204,1,M,Rhodes,1
241,4,110000.0,7295.04,66,10,125,1,M,Ingolstadt,3
242,1,20000.0,30.48,40,2,105,1,M,Frankfurt,1
243,1,20000.0,24.99,38,1,98,0,F,Eilenburg,1
244,2,90000.0,4947.78,46,5,155,1,M,Matraville,3
245,1,30000.0,49.99,45,1,79,1,M,Colombes,1
246,2,30000.0,132.27,47,4,148,1,M,London,1
247,1,20000.0,38.98,69,2,184,1,M,Orly,1
248,3,40000.0,5218.3982,47,6,148,1,M,London,1
249,1,40000.0,42.28,63,3,36,1,M,Burien,1
250,1,20000.0,32.28,38,2,18,1,M,Birmingham,1
251,3,30000.0,6901.4196,76,8,148,1,M,London,1
252,3,60000.0,125.51,47,8,109,1,M,Geelong,0
253,1,20000.0,69.97,40,3,258,1,M,Werne,1
254,1,90000.0,64.97,50,3,8,1,M,Bellingham,3
255,2,30000.0,118.96,77,4,63,1,M,Cheltenham,1
256,1,90000.0,39.98,50,2,74,1,M,Cliffside,3
257,2,60000.0,3071.0125,50,6,7,1,M,Bellflower,0
258,1,30000.0,106.96,42,3,33,1,M,Bremerton,1
259,2,20000.0,2781.5425,77,3,170,0,F,Neunkirchen,1
260,1,130000.0,6.28,64,2,127,0,F,Kassel,2
261,1,40000.0,1174.48,46,2,148,0,F,London,1
262,3,40000.0,7000.8725,55,9,116,0,F,Hamburg,1
263,1,70000.0,7.28,51,2,228,0,F,Silverwater,0
264,1,60000.0,553.97,45,3,14,0,F,Beverly Hills,0
265,2,30000.0,4217.22,66,6,192,0,F,Perth,1
266,1,40000.0,32.6,41,1,37,0,F,Burlingame,1
267,2,110000.0,3034.0682,62,4,242,0,F,Sèvres,3
268,1,80000.0,12.94,46,2,160,1,M,Mill Valley,3
269,1,10000.0,633.45,64,5,83,1,M,Coronado,1
270,1,60000.0,1729.97,63,3,198,1,M,Portland,0
271,1,70000.0,37.27,63,3,84,1,M,Corvallis,0
272,1,30000.0,565.47,59,3,183,0,F,Orleans,1
273,2,90000.0,1917.46,48,4,42,0,F,Caloundra,3
274,2,70000.0,5900.55,52,3,7,0,F,Bellflower,0
275,2,80000.0,4793.12,46,2,7,0,F,Bellflower,3
276,2,60000.0,39.97,53,3,89,1,M,Darlinghurst,0
277,1,60000.0,1197.41,48,5,4,1,M,Beaverton,0
278,2,10000.0,5964.22,59,5,240,1,M,Suresnes,1
279,1,10000.0,7.28,71,2,157,1,M,Melton,1
280,2,20000.0,144.94,63,5,112,1,M,Gold Coast,1
281,1,20000.0,67.93,68,3,192,1,M,Perth,1
282,1,30000.0,2398.05,50,3,217,1,M,Salzgitter,1
283,1,50000.0,1750.98,49,2,14,1,M,Beverly Hills,0
284,2,80000.0,4708.02,78,6,74,1,M,Cliffside,3
285,2,30000.0,5898.26,45,2,190,1,M,Paris,1
286,2,20000.0,4758.24,38,4,153,1,M,Malabar,1
287,2,30000.0,88.96,76,5,108,1,M,Gateshead,1
288,1,40000.0,8.99,52,1,268,1,M,York,1
289,2,60000.0,88.97,53,3,204,1,M,Rhodes,0
290,1,70000.0,36.96,45,3,74,1,M,Cliffside,0
291,1,30000.0,777.34,47,2,187,1,M,Paderborn,1
292,1,60000.0,75.47,53,3,86,1,M,Cranbourne,0
293,1,80000.0,99.47,47,4,205,1,M,Rockhampton,3
294,1,80000.0,184.26,52,5,256,1,M,Warrnambool,3
295,1,110000.0,78.98,59,2,155,1,M,Matraville,3
296,2,10000.0,4419.0582,49,5,166,1,M,München,1
297,1,10000.0,93.48,56,3,207,1,M,Roncq,1
298,1,80000.0,49.97,51,3,196,1,M,Port Macquarie,3
299,1,10000.0,24.27,42,2,13,1,M,Berlin,1
300,2,20000.0,3907.5425,53,3,125,1,M,Ingolstadt,1
301,3,70000.0,6766.6282,56,6,204,1,M,Rhodes,0
302,2,80000.0,1903.48,61,2,171,1,M,Newcastle,3
303,2,90000.0,3310.4075,63,4,183,1,M,Orleans,3
304,1,130000.0,60.47,63,3,148,1,M,London,2
305,1,60000.0,64.47,40,3,83,1,M,Coronado,0
306,2,110000.0,3319.3975,67,5,237,1,M,Stuttgart,3
307,3,10000.0,6576.8,72,6,119,1,M,Hawthorne,1
308,2,10000.0,115.25,44,5,172,1,M,Newcastle upon Tyne,1
309,1,40000.0,1155.48,47,2,139,1,M,Lebanon,1
310,1,60000.0,3578.27,50,1,35,1,M,Burbank,0
311,1,60000.0,39.98,53,2,150,1,M,Los Angeles,0
312,1,90000.0,4.99,59,1,9,1,M,Bendigo,3
313,2,150000.0,5944.73,54,4,222,1,M,Santa Cruz,2
314,2,70000.0,4758.03,59,6,227,1,M,Shawnee,0
315,2,110000.0,6023.73,45,6,146,1,M,Lincoln Acres,3
316,1,10000.0,1174.48,43,2,63,1,M,Cheltenham,1
317,1,40000.0,4.99,65,1,158,1,M,Metchosin,1
318,4,90000.0,10813.63,68,9,20,1,M,Bobigny,3
319,1,30000.0,61.96,44,3,223,1,M,Santa Monica,1
320,1,50000.0,117.96,44,4,91,1,M,Downey,0
321,1,60000.0,191.28,41,3,110,1,M,Glendale,0
322,1,60000.0,14.98,44,2,139,1,M,Lebanon,0
323,1,30000.0,27.28,73,2,225,1,M,Seattle,1
324,1,30000.0,616.95,52,5,184,0,F,Orly,1
325,1,110000.0,56.97,56,2,14,0,F,Beverly Hills,3
326,1,20000.0,751.34,73,2,175,0,F,North Ryde,1
327,1,30000.0,92.48,45,3,189,0,F,Pantin,1
328,2,30000.0,5948.23,48,5,249,0,F,Versailles,1
329,2,30000.0,5918.24,76,4,258,0,F,Werne,1
330,1,60000.0,1754.98,54,2,91,0,F,Downey,0
331,1,60000.0,1155.48,69,2,169,0,F,National City,0
332,2,90000.0,3961.0325,46,4,196,0,F,Port Macquarie,3
333,1,90000.0,14.98,84,2,124,0,F,Imperial Beach,3
334,2,100000.0,4514.9696,50,4,254,0,F,Walla Walla,3
335,1,120000.0,13.98,74,2,126,0,F,Issaquah,2
336,2,20000.0,190.54,56,7,255,0,F,Warrington,1
337,2,60000.0,4829.39,47,5,250,0,F,Victoria,0
338,2,60000.0,4816.09,55,5,158,0,F,Metchosin,0
339,3,60000.0,74.14,59,6,250,0,F,Victoria,0
340,1,60000.0,29.99,79,1,199,0,F,Puyallup,0
341,1,30000.0,46.47,38,2,179,0,F,Oakland,1
342,1,30000.0,64.97,70,3,150,0,F,Los Angeles,1
343,1,40000.0,32.28,39,2,163,0,F,Milwaukie,1
344,3,110000.0,5710.2296,42,7,156,0,F,Melbourne,3
345,2,120000.0,5948.24,51,5,83,0,F,Coronado,2
346,1,30000.0,66.97,40,3,267,0,F,Yakima,1
347,2,40000.0,5913.24,63,4,103,0,F,Everett,1
348,1,60000.0,1170.48,52,2,132,0,F,Lake Oswego,0
349,2,60000.0,1372.95,67,5,10,0,F,Berkeley,0
350,1,90000.0,46.47,52,2,195,0,F,Port Hammond,3
351,1,100000.0,69.99,55,1,97,0,F,Edmonds,3
352,1,120000.0,12.94,62,2,125,0,F,Ingolstadt,2
353,1,40000.0,574.98,52,2,243,1,M,Tacoma,1
354,1,50000.0,13.98,52,2,137,1,M,Langley,0
355,1,60000.0,2181.5625,53,1,117,1,M,Haney,0
356,4,60000.0,200.2,60,11,209,1,M,Royal Oak,0
357,2,80000.0,6056.61,59,3,122,1,M,Hobart,3
358,2,70000.0,47.94,65,3,160,1,M,Mill Valley,0
359,1,30000.0,74.98,44,3,190,1,M,Paris,1
360,1,60000.0,1728.27,67,3,252,1,M,W. Linn,0
361,1,90000.0,39.98,66,2,125,1,M,Ingolstadt,3
362,2,30000.0,5888.24,49,4,92,1,M,Drancy,1
363,1,40000.0,69.99,59,1,188,1,M,Palo Alto,1
364,2,60000.0,1622.47,39,3,82,1,M,Concord,0
365,2,60000.0,2688.8896,39,5,117,1,M,Haney,0
366,1,60000.0,1709.98,58,2,222,1,M,Santa Cruz,0
367,1,60000.0,2396.94,61,6,201,1,M,Redmond,0
368,1,60000.0,88.98,75,3,97,1,M,Edmonds,0
369,4,80000.0,190.17,76,10,230,1,M,Sooke,3
370,2,90000.0,144.74,48,6,120,1,M,Hervey Bay,3
371,1,80000.0,64.47,54,3,199,1,M,Puyallup,3
372,2,70000.0,81.26,66,5,202,1,M,Redwood City,0
373,1,40000.0,1744.97,45,3,13,0,F,Berlin,1
374,1,70000.0,29.48,40,2,86,0,F,Cranbourne,0
375,3,70000.0,8145.33,54,6,135,0,F,Lane Cove,0
376,1,80000.0,133.49,53,2,82,0,F,Concord,3
377,3,100000.0,8326.31,71,5,105,0,F,Frankfurt,3
378,1,80000.0,4.99,59,1,14,0,F,Beverly Hills,3
379,1,80000.0,34.98,82,2,82,0,F,Concord,3
380,1,10000.0,78.96,44,4,100,0,F,Erlangen,1
381,1,30000.0,58.98,46,2,85,0,F,Courbevoie,1
382,1,20000.0,786.33,42,3,13,0,F,Berlin,1
383,5,80000.0,13242.7,71,10,80,0,F,Colomiers,3
384,2,60000.0,113.96,47,4,239,0,F,Sunbury,0
385,3,60000.0,8156.32,48,7,34,0,F,Brisbane,0
386,3,30000.0,8143.03,45,5,255,0,F,Warrington,1
387,2,10000.0,202.46,55,5,101,0,F,Esher-Molesey,1
388,1,70000.0,603.96,54,4,124,1,M,Imperial Beach,0
389,1,70000.0,39.98,59,2,83,1,M,Coronado,0
390,2,110000.0,1938.47,47,3,42,1,M,Caloundra,3
391,1,60000.0,3578.27,51,1,36,1,M,Burien,0
392,2,90000.0,3183.94,53,5,4,1,M,Beaverton,3
393,1,70000.0,673.97,41,4,37,0,F,Burlingame,0
394,2,20000.0,2527.96,57,4,148,0,F,London,1
395,1,30000.0,60.47,75,3,204,0,F,Rhodes,1
396,1,80000.0,78.98,57,2,33,0,F,Bremerton,3
397,2,90000.0,144.27,58,3,34,0,F,Brisbane,3
398,1,30000.0,539.99,48,1,194,1,M,Poing,1
399,1,30000.0,39.98,50,2,237,1,M,Stuttgart,1
400,2,70000.0,4391.74,48,4,89,1,M,Darlinghurst,0
401,2,80000.0,91.28,52,3,30,1,M,Branch,3
402,1,20000.0,801.83,60,3,156,1,M,Melbourne,1
403,3,30000.0,5007.3,66,6,122,1,M,Hobart,1
404,2,20000.0,2770.5225,64,5,241,1,M,Sydney,1
405,1,40000.0,166.28,58,3,35,1,M,Burbank,1
406,2,90000.0,5938.25,40,4,192,1,M,Perth,3
407,1,30000.0,791.32,55,4,190,1,M,Paris,1
408,1,40000.0,39.98,57,2,58,1,M,Chantilly,1
409,1,40000.0,9.99,43,1,37,1,M,Burlingame,1
410,3,130000.0,8374.79,71,8,101,1,M,Esher-Molesey,2
411,2,100000.0,4468.5582,51,6,109,1,M,Geelong,3
412,1,60000.0,561.92,38,4,78,1,M,Colma,0
413,1,70000.0,38.88,67,3,13,1,M,Berlin,0
414,2,40000.0,2272.1975,65,6,196,1,M,Port Macquarie,1
415,1,20000.0,32.27,61,3,35,1,M,Burbank,1
416,1,130000.0,588.96,51,4,133,1,M,Lakewood,2
417,1,60000.0,23.97,46,3,199,1,M,Puyallup,0
418,1,70000.0,31.28,47,2,197,1,M,Port Orchard,0
419,1,130000.0,27.28,52,2,219,1,M,San Diego,2
420,1,170000.0,71.97,75,2,222,1,M,Santa Cruz,2
421,1,20000.0,58.98,72,2,113,1,M,Goulburn,1
422,1,40000.0,121.57,41,4,163,1,M,Milwaukie,1
423,2,80000.0,6054.22,62,3,9,1,M,Bendigo,3
424,1,60000.0,78.98,41,2,265,1,M,Woodland Hills,0
425,1,70000.0,2349.98,62,2,146,1,M,Lincoln Acres,0
426,1,90000.0,69.99,38,1,0,1,M,Ballard,3
427,2,90000.0,4736.03,60,4,137,1,M,Langley,3
428,1,100000.0,38.98,58,2,7,1,M,Bellflower,3
429,1,60000.0,27.28,77,2,8,0,F,Bellingham,0
430,1,40000.0,38.98,37,2,252,0,F,W. Linn,1
431,1,40000.0,3578.27,56,1,74,0,F,Cliffside,1
432,1,60000.0,1735.98,61,2,124,0,F,Imperial Beach,0
433,2,70000.0,4127.25,51,3,168,0,F,N. Vancouver,0
434,2,30000.0,9.98,50,2,185,1,M,Oxford,1
435,1,50000.0,39.98,50,2,203,1,M,Renton,0
436,1,60000.0,1155.48,54,2,37,1,M,Burlingame,0
437,1,60000.0,71.97,71,2,66,1,M,Chula Vista,0
438,1,60000.0,110.95,52,4,14,1,M,Beverly Hills,0
439,2,60000.0,4828.31,52,5,226,1,M,Sedro Woolley,0
440,1,60000.0,29.93,59,2,226,1,M,Sedro Woolley,0
441,2,90000.0,149.91,49,4,230,1,M,Sooke,3
