A,B,C,D,Menu_Section,Restaurant_URL,E,F,Region,G,H
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thecompasseshornchurch,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thefalconeltham,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thegreyhoundromford,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
